id,non-commonsense-statement,sentence1,sentence2,sentence3,label
2155,انا ذاهب الى المطار للحاق بقطاري.,تم العثور على الطائرات في المطارات.,القطار أبطأ من طائرة.,القطار مشغول للغاية.,0
2156,قام الأطفال ببناء مجهر عملاق عندما كانوا على الشاطئ.,وتستخدم المجاهر لعرض الكائنات الأخرى.,لا يصنع الأطفال المجاهر ولا يتم إنشاء المجاهر على الشاطئ.,يستمتع الأطفال بالنظر من خلال عدسة المجهر.,1
2157,أحضرت غابة إلى المدرسة.,الغابة لديها بينما المدرسة لديها أطفال,لا يمكن نقل الغابة إلى المدرسة.,لن تستثمر الغابة في المدرسة.,1
2158,يتم استخدام الساعات لإجراء المكالمة,لا يمكن للساعات إجراء المكالمات كهواتف محمولة,عادة ما تكون الساعات مثل الدائرة بينما الهواتف المحمولة مستطيلة,لا يمكن للساعات الاتصال بالهاتف الخليوي,0
2159,كرسي هزاز يمكن أن يطير صعودا وهبوطا.,يتم إجراء كرسي هزاز للالجلوس في.,كرسي هزاز فقط صخور ولا يمكن أن يطير لأنه قطعة أثاث.,كرسي هزاز يتسع لشخص واحد.,1
2160,تم إرساله إلى الكنيسة من قبل الجريمة بسبب الجريمة التي ارتكبها,هناك العديد من الكنائس والسجون في المدينة.,عادة ما تكون الكنيسة مكانًا مقدسًا للاعتراف بالجريمة,تهدف الكنيسة إلى صلاة الإله وليس للأشخاص الذين يرتكبون الجريمة.,2
2161,مشيت مع كلبها في الحمام,الحمامات ليست واسعة أو طبيعية بما يكفي لتكون منطقة للمشي,الكلاب لا تحب الحمامات,قد يأكل الكلب ورق التواليت ويمرض,0
2162,استيقظ ليجد نفسه ميتا على مقعد في الحديقة,الموتى لن يستيقظوا أبداً,يموت المرضى في وقت مبكر,يموت الكثير من الناس كل يوم,0
2163,وضعت سارة حصانًا في الثلاجة لتناول الطعام لاحقًا.,الحصان عادة ما تكون بنية اللون وثلاجة عادة ما تكون بيضاء.,الحصان لا يمكن أن يتسع في الثلاجة.,لا يستطيع الحصان أكل الثلاجة.,1
2164,أوقف الديزل في المرآب.,الديزل أكبر بكثير من المرآب.,تحتوي ديزل على إطارات متعددة والسيارات مصنوعة من أربعة فقط.,لا يستطيع الديزل الوقوف في مرآب.,0
2165,جاءت إلى دروس الرقص في طيور الفلامنو.,طيور الفلامنو هي الطيور والناس هم الثدييات.,طيور النحام لا تستطيع الرقص.,طيور الفلامنو ليست ملابس.,2
2166,في الكتاب يعيش الناس على البروكلي.,البروكلي صغير جداً على الناس للعيش عليه.,البروكلي لذيذ والناس ليسوا كذلك.,طعم البروكلي جيد في القلي.,0
2167,التليفزيون هو قطعة من القماش أو الورق السميك الماص المستخدم لتجفيف نفسه أو مسح الأشياء,يمكننا مشاهدة كل شيء من التلفزيون,التلفزيون هو جهاز يستخدم لمشاهدة الصور المتحركة,تحتوي معظم المنازل على تلفزيون,1
2168,ذهبت للركض هذا الصباح في الميكروويف.,لا يمكن للشخص أن يصلح في الميكروويف.,الناس لا يستخدمون الموجات الدقيقة للتوسع.,يستخدم الميكروويف لطهي الطعام حيث يمكن للمتنزه الاستمتاع بالأنشطة الخارجية كمتنزه.,0
2169,رأى فيلًا في السماء,الفيل على الأرض والطيور في السماء.,الفيل ليس لديه أجنحة للطيران بينما الطيور لديها.,لا تستطيع الفيلة القتال مع الطيور في السماء,1
2170,وضع الملابس في الثلاجة,الملابس وعادة ما تهدف لارتداء وليس للتبريد,هناك أنواع مختلفة من الملابس والثلاجات في المولات,غالبًا ما تكون الملابس ملونة حيث تكون الثلاجات عادةً بيضاء,0
2171,اشترى أسداً.,الأسود عادة ما تكون رمادية في حين أن الكلاب عادة ما تكون بيضاء.,الأسد ليس حيوانًا أليفًا.,الفيل لا يستطيع أكل البسكويت.,1
2172,يحدق في وحدة المعالجة المركزية لمشاهدة الفيلم,يتم استخدام وحدة المعالجة المركزية لفك تشفير الفيلم في الكمبيوتر,"وحدة المعالجة المركزية مسطحة ، مثل الشاشة",لا يمكن لوحدة المعالجة المركزية عرض فيلم,2
2173,غالبًا ما تجد خنزير الأرض في الأحذية. .,خنزير الأرض لها أنمة طويلة والأحذية لها أربطة طويلة.,يمكن أن تكون الأحذية من الجلد و خنزير الأرض فروي.,خنزير الأرض لا ترتدي أحذية.,2
2174,أضع المنشفة الورقية في غسالة الصحون.,منشفة ورقية ليست طبق.,منشفة ورقية بيضاء وغسالة الأطباق بيضاء.,منشفة ورقية ناعمة للغاية بالنسبة لغسالة الصحون.,0
2175,أكلت أحذية وبطانية على الفطور,الناس لا يأكلون الأحذية والبطانيات كطعام,الرائحة الكريهة للأحذية أقوى من أن تجعلها صالحة للأكل,النقانق والبيض يملأ أكثر من الأحذية والبطانيات,0
2176,ذهبنا تذوق تيكيلا في محل صنع النبيذ,يمكن أن يكون النبيذ أحمر أو أبيض والتكيلا ليست حمراء.,لا يمكن أن تقدم مصانع النبيذ الخمور,كروم العنب ليست الصبار.,1
2177,إنه يخبز الهواتف في فرن,فالهواتف المخبوزة في الفرن ستنصهر على الفور,الهواتف صغيرة والأفران ساخنة,رن الهواتف وأفران الصافرة,0
2178,إنه يركض في الدورة في صالة الألعاب الرياضية,يرصد دورة من الصلب في حين يتم بناء صالة الألعاب الرياضية في الطوب والأسمنت,لا يمكن لأحد أن يعمل بدورة,دورة لها عجلتان بينما لديه ساقان,1
2179,ألقى الرجل الشمس,الشمس حمراء,لا تستطيع الشمس رمي شخص,الشمس أكبر من أن تُلقى,2
2180,يمكن أن تحتوي العلب على النمور الموجودة بداخلها.,النمر لديه بقع وبالتالي لا يمكن وضعها في علبة.,النمر كبير جدًا بحيث لا يمكن احتوائه داخل علبة.,النمور حيوان أفريقي وبالتالي لا يمكنهم العيش في علبة.,1
2181,وضع مايك الطوب على اللوحة أيضًا.,الطوب لا يذهب على الطاولة وأنها لا طعم جيد.,الطوب ثقيل على لوحة.,لا يذهب الطوب على الطاولة.,1
2182,قابلت نمرها في مطعم فاخر.,النمور لديها مخالب حادة ولكن المطعم يقدم شريحة لحم.,لم يتمكن النمر من الحصول على حجز في مطعم فاخر.,النمور غير مسموح بها في المطاعم الفاخرة.,2
2183,تم إرساله إلى مطعم لاتخاذ إجراءات تأديبية.,مطعم ليس لديه معلمين لتعليم الانضباط,هناك الكثير من المطاعم والعديد من الأشخاص المنضبطين في الولاية,عادة ما يكون المطعم صاخبًا جدًا للحفاظ على الانضباط.,0
2184,تنمو الأواني في الحديقة,الأواني هي المعادن والحدائق هي الأوساخ,الأواني من صنع الإنسان,تصنع الأواني الطعام والحدائق تصنع النباتات,1
2185,يمكنك خبز مع تلسكوب.,A لديه عدسة في حين أن الفرن لديه نافذة.,التلسكوب لا يتناسب مع الفرن.,التلسكوب هو أداة علمية وليس أداة خبز.,2
2186,الخيول جيدة للحلب.,الخيول تحب شرب الماء وليس الحليب.,لا يمكن حلب الخيول.,يمكن للخيول الركض أسرع من البقرة.,1
2187,وضعت سارة طائرًا في الثلاجة.,الطيور تأكل فتات الخبز وسارة تأكل الخبز مع الدجاج herchicken.,لا يستطيع الطائر التنفس في الثلاجة.,هل الطيور لا تستطيع العيش في الثلاجة.,1
2188,الفأر يملك جهاز كمبيوتر,"لا يمكن للفأرة امتلاك الأشياء، والماوس في سياق مع أجهزة الكمبيوتر هو شيء مختلف",يحتوي الكمبيوتر على شاشة بينما لا يحتوي الماوس على شاشة واحدة,الماوس رمادي,0
2189,وضع الحليب في الفريزر,الحليب سوف تحصل على الثابت,لا يدخل الحليب في المجمد,لا يفترض أن يتجمد الحليب,1
2190,كان للصحيفة الوطنية قصة عن المعرض المحلي,الناس الذين لا يعيشون بالقرب من المعرض لا يهتمون,لا يجب أن تكون المعارض في الصحف الوطنية,المعرض المحلي هو قصة صغيرة ومهم فقط للأشخاص الذين يعيشون في مكان قريب,2
2191,حمل سيارته عندما عبر الشارع.,الكلاب لديها أرجل في حين أن السيارات لديها عجلات.,السيارة ثقيلة للغاية بحيث لا يستطيع الرجل تحملها لأي مسافة ولتحريك السيارة بشكل طبيعي سيقودها المرء إلى الموقع المطلوب.,لا تستطيع الكلاب قيادة السيارات.,1
2192,استقلت الدراجة الرجل للعمل.,الناس ليس لديهم عجلات.,الدراجات ليست أشخاصًا.,الدراجات لا تركب الناس.,2
2193,ذهب إلى سوق الخضار لشراء الأحذية,الخضروات عادة ما تكون الأحذية الطازجة نتنة,أسواق الخضار هي للخضروات وليس للأحذية,الخضروات هي أحذية للأكل ليست كذلك,1
2194,وضع زرافة في حقيبته.,"الزرافات لديها بقع، وحقائب الظهر يمكن أن تأتي في العديد من الأنماط.","تأكل الزرافة الأوراق ، لكن حقيبة الظهر لا تنمو الأوراق.",لن تناسب الزرافة حقيبة ظهر.,2
2195,شخص ما أكل صخري.,الهلام الملونة الزاهية والصخور رمادية وقذرة.,من المستحيل مضغ الصخور.,لا يستطيع الناس أن يأكلوا الصخور مثلما يمكنهم أكل حبوب الهلام.,2
2196,يمكن أن يتسبب تنظيف الشاشة في نزيف أصابعك.,تنظيف الشاشة لا ينطوي على يديك.,"تقوم بتنظيف شاشتك باستخدام غطاء مصباح ، والذي لا يمكن أن يقطعك على الإطلاق.",لا يوجد سبب يجعل تنظيف الشاشة يقطع أصابعك بأي شكل من الأشكال.,2
2197,يرتدي الأولاد حمالة صدر لتقديم الدعم لثديهم.,كل من الفتيان والفتيات هم بشر.,يرتدي الأولاد والبنات الملابس الداخلية.,الأولاد ليس لديهم ثديين مثل الفتيات.,2
2198,يمكن للدراجات أن تقود أسرع من السيارات.,السيارات عادة ما تكون سوداء والدراجات نادرا ما تكون سوداء.,صديقي يركب دراجة للعمل كل يوم.,السيارات لها محركات والدراجات لا.,2
2199,قفزات السلحفاة على طول الطريق.,السلحفاة تغلبت على الأرنب في سباق مرة واحدة.,لا تأمل السلاحف في التجول والمشي.,السلحفاة والأرنب يأكلان النباتات.,1
2200,إذا أصبح الماء باردًا فسوف نصنع المعكرونة الباردة,المعكرونة في الثلاجة يتحول إلى المعكرونة المجمدة,لا توجد طريقة لصنع المعكرونة بالماء البارد,اترك النودلز في الماء الجاري لتحضيرها,1
2201,رجع لاعب الوسط الأسد في بداية المسرحية.,الأسد يحب أن يفعل الكثير من الحيل.,لا يستطيع الشخص رمي أسد ولا يتم استخدام الحيوانات في كرة القدم.,فرو الأسد ناعم للغاية ويسهل إدارته.,1
2202,حذائه الجديد مصنوع من زبدة الفول السوداني.,من المهم ارتداء الأحذية أثناء تناول زبدة الفول السوداني.,لا يمكن صنع الأحذية من زبدة الفول السوداني.,وضع زبدة الفول السوداني في حذائك يجعلها لذيذة المذاق.,1
2203,يقود حصان.,السيارات عادة ما تكون أكبر من الخيول.,لا يمكن قيادة الخيول.,لا تستطيع الخيول قيادة السيارات.,1
2204,ركب الدراجة في السماء,الدراجة لا يمكن أن تطير وأنها هي وسيلة النقل البري,السماء زرقاء بينما الدراجة سوداء في الغالب,السماء مرتفعة للغاية ويخاف من الارتفاع,0
2205,ألقى بيته في سلة المهملات,منزل لديه نوافذ في حين أن صناديق القمامة لا,ينتن صندوق القمامة بينما لا تفعل المنازل ذلك,المنزل كبير جدًا بحيث لا يتناسب مع سلة المهملات,2
2206,اصطدمت الكعكة بالجدار,لا يمكن تشغيل الدونات,الدونات لذيذة أكثر من القطط,الجدران أكثر صلابة من الكعك,0
2207,قطع العشب بمطرقة.,المطارق ليست بنفس لون العشب.,العشب لا يستطيع قطع مطرقة.,لا تستطيع المطارق قطع العشب.,2
2208,خبزت حذاء للعشاء.,الحذاء غير صالح للأكل.,الحذاء هو جزء من زوج.,الدانتيل حذاء لها الوردي.,0
2209,يذهب الناس إلى الحمام لكسب المال,الحمامات لا تدفع أي شيء,الحمّامات كريهة الرائحة جدًا للعمل فيها,لا يمكن استخدام لوازم الحمام كعملة,0
2210,وضع نمر في محمصة.,النمور هي الحيوانات الملونة السوداء والبرتقالية.,النمر لا يمكن أن يتناسب مع المحمصة.,لا يمكن للمحمصة طهي النمر.,1
2211,يحب كلبي أن يأكل الغيوم عندما أطهو,"الغيوم رقيقة، في حين أن الكلاب لديها عظام",لا تستطيع السحابة أن تأكل كلبًا,لا تستطيع الكلاب أكل الغيوم,2
2212,السكر له طعم حامض,يضاف السكر في صنع الأطباق الحلوة,دائما ما يكون للسكر طعم حلو,يزيد مستوى السكر إذا أكلنا المزيد من الحلويات,1
2213,أخذ حماماً بالأوساخ الجافة لينظف.,الأوساخ ستجعلك أكثر قذارة,يجب أن تكون الأوساخ رطبة لتنظيفك.,تحتوي الأوساخ على الكثير من الصخور.,0
2214,لقد سلم الهاتف إلى قضاعة.,الثعالب لا تتكلم,الهواتف ليست مقاومة للماء.,لا يعرف ثعالب الماء ما هي الهواتف.,0
2215,كان المحيط جافًا,يتكون المحيط من المياه ولا يمكن ان يجف,لا يمكن رؤية المحيط,هناك الكثير من الأسماك في المحيط,0
2216,ارتد الجدار عن الكرة.,جدار طويل القامة في حين أن الكرة قصيرة.,لا يمكن أن تتناسب الكرة مع الجدار.,الجدار ثابت ولا يمكن ارتداده عن الكرة.,2
2217,يحب أكل الماء.,لا يستطيع أكل الماء لأن الماء ليس صلباً.,الماء واضح بينما لسانه وردي,يمكن أن يتناسب الماء مع أي شيء.,0
2218,يتم حفظ أجهزة الكمبيوتر في مواقع رطبة.,أجهزة الكمبيوتر في نهاية المطاف امتصاص الرطوبة مثل الاسفنج.,يكره مستخدمو الكمبيوتر المواقع الرطبة.,الرطوبة تتلف أجهزة الكمبيوتر.,2
2219,اقترح على فيل بحلقة ألماس,الفيل هو الحيوان ولا يمكن اقتراحه,الفيل حيوان وفتاة إنسان,هناك أنواع مختلفة من الفيل والعديد من الفتيات الجميلات في المدينة.,0
2220,اشترت فرنًا للذهاب إلى النادي للرقص ومقابلة الناس.,الفرن لا يمكن الرقص أو لقاء الناس.,عادة لا يحمل الناس أدوات منزلية ثقيلة كبيرة في النادي.,الفرن مربع للغاية بالنسبة للنادي.,1
2221,أنام في بيديت كل ليلة,لا يتم إجراء البيديت للنوم,بيديت أبيض كالأسرة,بيديت ليست مريحة,0
2222,ذهبت إلى الطبيب لشراء بعض القهوة.,الأطباء لا يبيعون القهوة.,يعالج الأطباء المرض والإصابة وليس بيع المنتجات.,يتم شراء القهوة في متجر أو مطعم وليس في مكتب الأطباء.,0
2223,كان يعلم أنه إذا عمل ساعات أكثر فسيحصل على مزيد من الوقت مع العائلة,عائلته تقضي بعض الوقت معه في العمل,"إذا كان يعمل ، لا يمكنه قضاء الوقت مع عائلته",يعمل بالقرب من عائلته,1
2224,الكلب استمتع على القمر اليوم,الكلاب لا تحب أن تكون في الفضاء,القمر لا يسمح للكلاب,لا يمكن وضع كلب على القمر,2
2225,لقد خبزت لحم بقري مشوي للحلوى.,الشواء ليست مصنوعة من التفاح.,لا تصنع الحلويات من لحم البقر المشوي.,لا تأكل لحم البقر المشوي للحلوى.,2
2226,ضرب الكرة بهاتف,الهواتف وعادة ما يكون أزرار والخفافيش لا,يمكن للخفافيش أن تطير والهواتف لا تستطيع,لا تمارس الرياضة بهاتف,2
2227,كانت الأمواج تتحطم في الشارع,الأمواج يمكن أن تكون خطرة,عادة ما ترى الأمواج في المسطحات المائية,يمكن للموجات تحقيق سرعة أكبر,1
2228,تحدث إلينا الطائر,الطائر كان بعيداً جداً عن سماعه,الطائر لم يتحدث الإنجليزية,لا يستطيع الطائر التكلم,2
2229,شربت الزجاج هذا الصباح.,الزجاج لا يتذوق طعمجيد,القهوة صالحة للشرب والزجاج شيء لا يمكن استهلاكه.,الزجاج غير صحي بالنسبة لك.,1
2230,لقد وضعت الغاز في لوح التزلج الخاص بها لتتوجه إلى العمل.,لوح التزلج لا يحتاج إلى الغاز ولا تقود واحدة.,لوح التزلج والدراجة النارية لديهما عجلات.,يمكنك ركوب لوح التزلج للعمل.,0
2231,"أبحر كريستوفر كولومبوس إلى أمريكا الشمالية بثلاث سفن: تويوتا ، بونتياك ، ومازدا.",سانتا ماريا لا تحصل على الغاز الأميال جيدة.,"سانتا ماريا ، بينتا ، ونينا هي سفن تبحر ، في حين أن سيارات تويوتا ، وبونتياك ، ومازدا هي سيارات.",لدى بينتا نظام إرسال خاطئ.,1
2232,الحفاضات ترتدي الأطفال.,الحفاضات هي لغرض ملء مع نفايات الطفل ولا يمكن ارتداء الطفل.,الحفاضة بيضاء فقط بينما يأتي الأطفال بألوان مختلفة.,حفاضات مصنوعة فقط من البلاستيك.,0
2233,الرياح تأتي من خلال نافذة زجاجية مغلقة.,يمكن أن تكون سرعة الرياح أسرع جدا مثل الضوء.,الرياح غير مرئية مثل الضوء.,الرياح لا يمكن أن تمر عبر الزجاج مثل الضوء.,2
2234,تناول جوني وجبة من 4 أطباق كوجبة خفيفة.,الوجبة من 4 أطباق لذيذة جدا.,الوجبة المكونة من 4 أطباق ليست كبيرة بما يكفي.,عادة ما تكون الوجبة الخفيفة جزءًا صغيرًا من الطعام.,2
2235,يرتدي اريكة في الشتاء,الكنة دافئة تماما مثل بعض الملابس,لا أحد يرتدي أريكة كالملابس,صوفا أكبر من الناس,1
2236,طار الراكون جنوبا لفصل الشتاء.,الراكون لا يستطيعون الطيران,يذهب الراكون شمالا لفصل الشتاء.,أجنحة الراكون أقصر من أن تطير.,0
2237,خزانة ملابس لتعليق سيارتك.,السيارة كبيرة جداً على الخزانة,الحجرات للمنازل والسيارات للمرائب.,تعليق الملابس لرفوف الملابس.,0
2238,لقد قطع الشجرة بإصبعه.,الأصابع لا تنمو على الأشجار.,الإصبع ليس حادًا وصلبًا بما يكفي لقطع الشجرة.,يمكن للأشجار سحق الأصابع.,1
2239,حصل على حوض الاستحمام للذهاب إلى العمل.,من الجيد أن تأخذ حمامقبل العمل.,"يمكنك الحصول على حوض استحمام للاستحمام ، وليس الذهاب إلى العمل.",بعض الناس يعملون في حوض الاستحمام.,1
2240,شيء ستجده على لوحة الشطرنج هو رئيس,يمكن للرئيس لعب الشطرنج مع الأصدقاء,لا يوجد رئيس في لعبة الشطرنج,يمكن للرئيس أن يفقد ألعاب الشطرنج,1
2241,وضعت الحمام في الطفل,الطفل بحاجة إلى غسلها والحمامات لا,طفل مثل الحمامات والحمامات هي الأشياء.,لا يمكنك وضع أي شيء في الطفل,2
2242,جاء جورج واشنطن إلى حفلة عيد ميلاد طفلي أمس.,جورج واشنطن كان أطول من معظم المهرجين,كان جورج واشنطن مشغولاً للغاية لحفلات أعياد الميلاد.,"توفي جورج واشنطن منذ سنوات عديدة ، بينما كان العديد من المهرجين على قيد الحياة أمس.",2
2243,وضعت الحمار على الانتظار.,الحمير لا تستطيع إجراء مكالمات هاتفية,الحمير لا تحب أن يتم تعليقها.,الحمير حيوانات والوقف هو عمل.,0
2244,شرب القهوة لينام.,الناس يشربون القهوة عند الاستيقاظ من النوم.,تحتوي القهوة على مادة الكافيين المنشطة.,لا يستطيع الشخص شرب القهوة أثناء النوم.,1
2245,الجوارب هي شيء نرتديه على الرقبة,الجوارب هو قطعة قماش التي يمكننا ارتداء فقط على الساقين وليس في الرقبة,عادة ما تكون الجوارب مصنوعة من البلاستيك بينما تتكون الخوذة من القطن,الخوذة أصغر من الجوارب,0
2246,أخبز فطيرتي في العوامة,هوفر يستخدم الكهربية مثل الفرن,هوفر لا يخبز الأشياء,هوفر صاخب بينما الفرن ليس كذلك,1
2247,وضع القرش في مزرعة,أسماك القرش وعادة ما تكون أكوامارين في حين أن الماشية بيضاء,القرش لا يستطيع أكل الرانش,القرش لا يمكن أن يعيش في مزرعة,2
2248,هناك شاحنة على السرير,السرير مصنوعة من الخشب والشاحنات مصنوعة من الصلب,السرير لا يستطيع الركض مثل الشاحنة,سرير لا يمكن أن يتحمل وزن الشاحنة,2
2249,مرّت المرأة من خلال ثقب المفتاح,مدخل هو لدخول منزل في حين يتم ثقب المفتاح من المعدن,لا ينبغي أن يكون ثقب المفتاح مقلوبًا,لا يمكن للإنسان أن يدخل من خلال ثقب المفتاح,2
2250,يأكل الناس الفحم,لا يتم استهلاك الفحم كغذاء,الفحم أغمق من الشوكولاتة,يحتوي الفحم على سعرات حرارية أقل من الشوكولاتة,0
2251,اشترى أسداً.,الأسد ليس أليفاً,عادة ما تكون الأسود رمادية بينما الكلاب بيضاء.,الأسد لا يستطيع أكل البسكويت.,0
2252,ألقى عليها مبنى.,البيسبول عادة ما تكون مستديرة والمباني عادة ليست مستديرة.,يحتوي المبنى على نوافذ أكثر من كرة القاعدة.,لا أحد قادر على رمي مبنى.,2
2253,اشترى توم بيتا بستة غرف.,عادة لا يمكن أن تحتوي السيارة على العديد من الغرف,تعمل معظم السيارات على أربعة إطارات,شخص ما يجب أن يقود سيارة لمواصلة التحرك,0
2254,قفز الحبل له,خلق الحبل القوات وقفز,الحبل ليس لديه حياة للقفز,الحبل أكبر منه,1
2255,يبكي وهو يقطع بعض التفاح,البصل لديه الكثير من الماء من التفاح,التفاح أكثر بياضًا من البصل,لا يستطيع التفاح أن يبكي بشراً أثناء تسوقه.,2
2256,تَدُورُ الشمسُ حول الأرض.,الأرض زرقاء بشكل عام الشمس الصفراء,توضح نظرية مركزية الشمس أن الشمس لا يمكنها الدوران حول الأرض,لا يمكن أن تكون الأرض صفراء والشمس لا يمكن أن تكون زرقاء,1
2257,ذهبت المرأة تقود في البحيرة.,المرأة لا تستطيع القيادة في بحيرة,كانت المرأة تشعر بالغثيان وكانت البحيرة باردة.,ذهبت المرأة إلى الحمام في البحيرة.,0
2258,النعامة في المركز التجاري.,النعامة لا تذهب إلى المركز التجاري.,يحب المراهقون التسكع في المركز التجاري.,النعام ليس مراهقًا.,0
2259,الكتف الأيسر هو جزء من فطيرة,"الكتف هو جزء من جسم الإنسان، وليس غذاء",يمكن نكهة فطيرة بالفراولة بينما الكتف لا يمكن.,لا ينبغي أن تؤكل الكتف,0
2260,اثنان اكثر من ثلاثة,"ثلاثة لديه ""ص"" في حين أن اثنين لديه ""ث"".",اثنان أقل من ثلاثة.,الثلاثة عدد فردي بينما اثنان عدد زوجي.,1
2261,صعد على سيارة وسافر إلى وجهته.,يمكن للسيارة القيادة إلى الوجهة.,السيارات لا تستطيع الطيران ولكن الطائرات تستطيع.,الطائرات أسرع من السيارات.,1
2262,الأطفال يحصلون على الموز.,الموز أصغر من الحافلة المدرسية.,الأطفال لا يركبون الموز إلى المدرسة.,لا يمتلك الموز عجلات مثل حافلة المدرسة.,1
2263,إنهم يحضرون دروسًا للتسكع مع الآباء,سيعرف الآباء أن أطفالهم لا يحضرون الفصول الدراسية,قلة من المراهقين يخرجون مع والديهم أثناء العطلات للتسوق,يفضل طلاب الكلية قضاء المزيد من الوقت في أداء الأشياء الممتعة,0
2264,انا ذاهب الى الشاطئ من مادوراي,ولكن ليس الشاطئ للعيش في مادوراي,كنت سأذهب إلى نهر فايكي إلى مادوراي,كنت ذاهب إلى الحمام من أجل الماء على حد سواء,0
2265,قفزت فوق جراند كانيون.,جراند كانيون هي وجهة سياحية.,الوادي الكبير أكبر من أن يقفز فيه احد.,جراند كانيون في الولايات المتحدة,1
2266,هناك العديد من سفن الفضاء في البحر.,سفن الفضاء السفر عبر الفضاء وليس المياه لذلك عادة ما لا توجد هي البحار.,تتطلب سفن الفضاء وقودًا خاصًا للإقلاع وعادة ما يكون البحر عميقًا جدًا.,يمكن أن يتسبب السفر عبر البحار في الشعور بالغثيان والأشخاص الذين يسافرون بسفن فضائية هم رواد فضاء.,0
2267,أكل حساء الطماطم بالشوكة,الناس لديهم ملاعق أكثر من الشوك,الشوكة لن تحمل السائل,معظم الناس يكرهون الشوك,1
2268,غالبًا ما يستخدم الماء كوقود,البنزين قابل للاشتعال وليس الماء,عادة ما يكون البنزين باللون البرتقالي بينما يكون الماء عديم اللون عادة,لا يمكن خلط الماء مع البنزين,0
2269,يتكون الخنزير من حروف الأبجدية.,الخنزير سمين جداً بحيث لا يمكن أن يتكون من حروف,لا توجد حروف كافية لصنع خنزير كامل.,الخنزير مخلوقات مادية ولا يمكن أن يتكون من حروف.,2
2270,إنها تطلب مكنسة كهربائية هدية بمناسبة عيد الرئيس,لا يمكنك الاحتفال بعيد الميلاد في عيد الرئيس,"عيد الميلاد في ديسمبر ، حيث يكون يوم الرئيس في فبراير",الناس لا يتبادلون الهدايا في يوم الرئيس,2
2271,أخي يذهب إلى صالة الألعاب الرياضية بعد تناول العشاء كل يوم,لا أحد يذهب إلى صالة الألعاب الرياضية بعد تناول وجبات الطعام,الصالة الرياضية عادة مكان للعمل وليس المنزل,صالة الألعاب الرياضية لا يمكنها تقديم الطعام للأكل,0
2272,كما طهت أرجل البقر للدخول.,ساق الأبقار عادة ما تكون مشعرة وأرجل الضفادع عادة ما تكون طرية.,عادة ما لا تكون ساق الأبقار مقبلات لتناول العشاء.,أرجل البقر كبيرة لتناسب صفيحة.,1
2273,بدأت بتناول الكثير من الطعام لفقدان الوزن.,الطعام لم يكن ساخناً بما فيه الكفاية,لا أحد يأكل أكثر لإنقاص الوزن.,تذوق الطعام سيئة.,1
2274,أعادت زرع السيارة في وعاء أكبر.,السيارات استخدام المياه وكذلك الزهور.,السيارة حمراء وكذلك الزهور.,السيارات أكبر من القدور وليس شيئًا تعيد زراعته.,2
2275,ذهب إلى ماكدونالدز لتناول جراد البحر,ماكدونالدز أنها لا تبيع جراد البحر,أنا أحب برغر السمك ماكدونالدز,أنا أحب برغر السمك ماكدونالدز,0
2276,اللون الأخضر هو مزيج من الأصفر والأحمر,الأصفر والأحمر جعل الظل خاطئ من الأخضر,الألوان الصفراء والحمراء تجعل البرتقال غير أخضر,"ليس لديك لون أصفر ، لديك أحمر فقط",1
2277,التفاح ساعة صغيرة يتم ارتداؤها عادة على حزام على معصم المرء,التفاح أحمر اللون,الساعة ضرورية لتتبع الوقت,التفاح هو فاكهة يأكلها الناس,2
2278,ما تجده في مقهى إنترنت هو قائمة طعام,توجد قوائم الطعام في معظم المطاعم,يمكن العثور على قوائم الطعام على مواقع الإنترنت,غالبًا ما يجد الناس قوائم الطعام على الطاولة,0
2279,إنها تقود تفاحة حمراء.,التفاح أحمر وعادة ما يكون المركبات 4 عجلات.,لا يمكن للسيارة أن تقود تفاحة.,التفاحة ليست مركبة وبالتالي لا يمكن قيادتها,2
2280,أكلت القطة حصانًا,هناك قطط سوداء وخيول,يمكن أن تأكل الخيول أكثر من القطط,لا تستطيع القطة أن تأكل الحصان لأن الحصان كبير جدًا,2
2281,يمكن أن تناسب الكلاب الكبيرة في حقيبة يد.,الكلاب الكبيرة وحقائب اليد غالبا ما تكون نفس اللون.,تصبح الكلاب الصغيرة في النهاية كلابًا كبيرة.,حقيبة يد صغيرة جدًا بحيث لا تحتوي على كلب كبير.,2
2282,تريد النافذة أن تكون نظيفة,"النافذة نظيفة بالفعل، تم غسلها منذ دقيقة واحدة.",النافذة أكبر من أن تكون نظيفة,لا يمكن أن يكون للنافذة أي رغبة,2
2283,اشترى الحليب لنباته وأبقاه في الثلاجة,لا أحد يصب الحليب للنباتات,عادة ما يكون النبات أخضر اللون بينما يكون الحليب أبيض,لا يستطيع الحليب إذابة الثلاجة,0
2284,طهي قبعته على الشواية.,القبعات عادة ما تكون مصنوعة من القماش.,القبعة ليست عنصرًا في الطعام.,يمكن أن تكون القبعات مصنوعة من سروال قصير.,1
2285,الرجل يلقي الأريكة لكلبه.,الكلب يمكن أن يستلقي على أريكة,لا تستطيع الكلاب شراء الكرات.,الأريكة ثقيلة جدًا ولا يمكن رميها.,2
2286,باستخدام شواء قمت بعمل ملس,الشواء ساخنة والعصائر باردة.,"الشواء يصنع الطعام لمضغه ، العصائر مشروب.",العصائر ليست شيئًا يمكن أن يصنعه الشواء.,2
