id,sentence1,sentence2,label
3100,طار رائد الفضاء إلى الفضاء في غواصة.,طار رائد الفضاء إلى الفضاء بصاروخ.,1
3101,قام لاعب البيسبول بجولة على أرضه.,لاعب البيسبول قام بلمسة.,0
3102,أحب ارتداء المروحيات,أحب ارتداء الجينز,1
3103,باريس في فرنسا.,نيويورك في فرنسا.,0
3104,يمكن العثور على أسد في القارة القطبية الجنوبية.,يمكن العثور على أسد في افريقيا.,1
3105,بكت الشجرة من أجل والدتها,بكى الطفل من أجل والدته,1
3106,حرب المزايدة في المزاد ستجعل الجميع سعداء.,الحرب التجارية مع الصين ستجعل عيد الميلاد أكثر تكلفة.,1
3107,البروكلي مليء بالفيتامينات,ينمو البروكلي على الأشجار,0
3108,انسكبت صلصة الصويا على الأرض.,سكبت السيارة على الأرض.,0
3109,القمر جميل جدا في الليل,قوس قزح جميل جداً في الليل,0
3110,تضع الملابس في الغسالة لتنظيفها.,وضعت الملابس في المجفف لتنظيفها.,0
3111,ضرب كرة جولف بسجق مدخن.,ضرب كرة جولف مع نادي جولف.,1
3112,أخذت القمامة إلى سلة النفايات.,أخذت القمامة إلى سلة الفواكه.,0
3113,طار الطائر إلى الشجرة.,طار الطائر الشجرة.,0
3114,سكبت الحمم في قهوتها,سكبت كريم في قهوتها,1
3115,فتح الباب بسمكة,فتح الباب بمفتاح,1
3116,رقصت مع رجل.,رقصت مع حوت.,0
3117,القلم أداة كتابة.,المكتب هو أداة الكتابة.,0
3118,من المحتمل أن يذهب البريد في صندوق بريد,سوف يذهب الفيل في صندوق بريد,0
3119,يحب موسيقي الجاز العزف على الهاتف.,يحب موسيقي الجاز العزف على الساكسفون.,1
3120,خطوت في بركة وسقطت سروالي,خطوت في بركة وأبللت حذائي,1
3121,اشتريت ابني فيلًا كعلاج,اشتريت ابني شريط حلوى كعلاج,1
3122,عيد الهالوين هو عطلة في مارس,عيد الهالوين هو عطلة في أكتوبر,1
3123,يقلق معلمو المدارس الابتدائية بشأن أجداد طلابهم.,قلق معلمي المدارس الابتدائية بشأن طلابهم.,1
3124,سأشاهد فيلمًا على غسالة الأطباق الخاصة بي.,سأشاهد فيلمًا على تلفزيوني.,1
3125,أنت بحاجة إلى جواز سفر للسفر إلى الخارج.,أنت بحاجة إلى بندقية للسفر إلى الخارج.,0
3126,استخدم قطعة قطن لتنظيف أذنيه.,استخدم البطاطس لتنظيف أذنيه.,0
3127,بوريتوس طعام إيطالي.,سباغيتي طعام إيطالي.,1
3128,الكلاب هي حيوان أليف رائع للعائلات مع الأطفال.,الذئاب هي حيوان أليف رائع للعائلات التي لديها أطفال.,0
3129,نحتاج الغاز لتحريك السيارة,يستخدم الغاز لتشغيل التلفزيون,0
3130,اليقطين نافذة,القرع برتقالي.,1
3131,ديسمبر هو الشهر الأول في السنة.,ديسمبر هو الشهر الأخير في العام.,1
3132,تلك البقرة تنتج حليبًا جيدًا.,تلك البقرة تنتج ذهبًا جيدًا.,0
3133,كلب يقطع شعرك بمقص,يقوم مصفف الشعر بقص شعرك بمقص,1
3134,ذهبت إلى متجر الملابس لشراء فستان جديد.,ذهبت إلى متجر الحيوانات الأليفة لشراء فستان جديد.,0
3135,"أفلاطون رجل ، وجميع الفلاسفة رجال ، لذا أفلاطون فيلسوف","أفلاطون فيلسوف ، وجميع الفلاسفة هم رجال ، وبالتالي فإن أفلاطون رجل.",1
3136,أريد أكل شطيرة,أريد أكل كرة قدم,0
3137,أعطت الكلب حمام.,أعطت محمصة للاستحمام.,0
3138,لعب مباراة مع شقيقته وجدته الميتة.,لعب مباراة مع شقيقته وأصدقائه.,1
3139,يستمتع أطفالي باللعب في الكنيسة,يستمتع أطفالي باللعب في الحديقة,1
3140,أستقل الحافلة للعمل كل صباح,آخذ جزازة العشب للعمل كل صباح,0
3141,كنت أقرأ عندما وجدت خطأ مطبعي.,كنت أسبح عندما وجدت خطأ مطبعيًا.,0
3142,وضع الملك التاج على رأسه.,وضع الملك المهرج على رأسه.,0
3143,يحب صب الكاتشب على بيضه.,يحب صب الوقود على بيضه.,0
3144,قاد الأريكة للعمل,قاد سيارته للعمل,1
3145,فينيكس هي عاصمة ولاية أريزونا.,أتلانتا هي عاصمة ولاية هاواي.,0
3146,أحضر المتدرب الكعك للمكتب.,أحضر المتدرب الزرافات للمكتب.,0
3147,بدأ تدخين الباذنجان يصبح أكثر استثناء في جميع أنحاء البلاد,بدأت الأعشاب الضارة بالتدخين تصبح أكثر استثناءً في جميع أنحاء البلاد,1
3148,شرب كأس بنزين.,شرب كوبا من الماء.,1
3149,سقط في المحيط من الشعاب المرجانية,سقط في المحيط من السماء,1
3150,اشترت السيدة متجرًا من لحم الخنزير.,اشترت السيدة لحم الخنزير من محل بقالة.,1
3151,ركضت القطة الى الشجرة.,ركضت الشجرة الى القطة.,0
3152,تستخدم أقلام الرصاص للرسم.,تستخدم الصودا للرسم.,0
3153,سام لا يحب الذهاب إلى حانة جو لأنها مزدحمة للغاية.,لا أحد يذهب إلى حانة جو لأن مزدحمة للغاية.,0
3154,"لمشاهدة فيلم في دار سينما ، يحتاج الشخص إلى شراء تذكرة.","لمشاهدة فيلم في دار سينما ، يحتاج الشخص إلى شراء الفشار.",0
3155,تحول جهاز الكمبيوتر الخاص بي إلى قرد,تم إيقاف تشغيل جهاز الكمبيوتر الخاص بي,1
3156,قطفت شجرة من اليقطين.,التقطت تفاحة من شجرة.,1
3157,أخذ آدم الأطفال إلى الحديقة.,أخذ آدم الديناصورات إلى الحديقة.,0
3158,أخذ المنزل للعمل.,استقل الحافلة للعمل.,1
3159,اتهمت تفاحتها.,اتهمت هاتفها.,1
3160,العديد من القطط تحب التونة.,القطط تحب التفاح,0
3161,طبخت سمك السلمون على الشواية.,طهي مكتبة على الشواية.,0
3162,أوقف لي حافله في الممر.,أوقف لي شاحنته في الممر.,1
3163,تمارس اليوغا ثلاث مرات في الأسبوع,إنها تمارس اليوجا في الشارب,0
3164,حملت سيارتها في حقيبتها,حملت كتبها في حقيبتها,1
3165,تشارلز ينبح,تشارلز يضحك,1
3166,أرسل المعلم الواجبات المنزلية إلى الفصل باستخدام البريد الإلكتروني.,أرسل المعلم مياه الأمطار إلى الفصل باستخدام البريد الإلكتروني.,0
3167,وضع كلمة المرور الخاصة به في نموذج الكمبيوتر.,وضع شاربه في شكل الكمبيوتر.,0
3168,يمكنك الاتصال بشخص ما باستخدام هاتفك,يمكنك الاتصال بشخص ما باستخدام التلفزيون الخاص بك,0
3169,قادت فرنها إلى محل البقالة.,قادت سيارتها إلى محل البقالة.,1
3170,احتفظ بزجاجة بيرة على الطاولة,احتفظ بالطاولة على زجاجة البيرة,0
3171,ذهب الرجل إلى الهند لرؤية تمثال الحرية.,ذهب الرجل إلى نيويورك لرؤية تمثال الحرية.,1
3172,توقف دان طائرته في الشارع.,قام دان بإيقاف سيارته في الشارع.,1
3173,أمي تطهو الحساء بالشوكة,أمي تطهو حساء بسكين,0
3174,علينا أن ننتظر حتى تتحول شرائح اللحم من اللون الأخضر إلى الأصفر لنأكلها.,علينا أن ننتظر حتى يتحول الموز من اللون الأخضر إلى الأصفر ليأكله.,1
3175,"تعطلت سيارتها ، لحسن الحظ توقفت ميكانيكي للمساعدة.","تعطلت سيارتها ، لحسن الحظ توقف الحبار للمساعدة ،",0
3176,مشى الرجل على المحيط.,مشى الرجل على الرصيف.,1
3177,ركب الرجل نملة إلى المتجر.,ركب الرجل دراجته إلى المتجر.,1
3178,الغذاء ضروري للحياة.,الهواتف الذكية ضرورية للحياة.,0
3179,قام بغسل الأطباق في الفرن.,قام بغسل الأطباق في المغسلة.,1
3180,ركض الحصان عبر الحقل المفتوح.,طار الحصان عبر الحقل المفتوح.,0
3181,التقطت زهرة نمت في أذني.,التقطت زهرة نمت في ساحتي الأمامية.,1
3182,كان عليها حذاء.,كان لديها قطط.,0
3183,يشرب معظم الناس النار مع حبوبهم.,معظم الناس يشربون الحليب مع حبوبهم.,1
3184,الغيتار هو أداة المطبخ.,الغيتار هو آلة موسيقية.,1
3185,عندما يكون لديك كتاب يمكنك طبخه.,عندما يكون لديك كتاب يمكنك قراءته.,1
3186,طلبت محرك نفاث من مؤسسة Popeye,طلبت شطيرة دجاج من مؤسسة Popeye,1
3187,التلفزيون لمشاهدة البرامج,يمكن أن يكون التلفزيون للقيادة في الخارج,0
3188,تحب الرقص بشكل استفزازي للحصول على المال في Walmart المحلية.,تحب التسوق للمطارق في متجر لاجهزة الكمبيوتر المحلي.,1
3189,الصبي يقود شاحنته للذهاب للحديقة,الصبي يقود دراجته للذهاب للحديقة,1
3190,يأتي الحليب من تفاحة,يأتي الحليب من بقرة,1
3191,ركض بسرعة كلب,ركض بسرعة طائرة نفاثة,0
3192,يريد المرء أن يكون لوسي في بعض الأحيان,يريد الشخص أن يكون كسولًا في بعض الأحيان,1
3193,النمر هو أفضل صديق للإنسان.,.الكلب صديق الإنسان الوفي,1
3194,أضع سيارة في الفرن,أضع فطيرة في الفرن,1
3195,استغرق 18 دقيقة لبناء منزله,استغرق 18 شهرا لبناء منزله,1
3196,عندما تكون رطبة ستمطر,عندما تمطر ستصبح مبللا,1
3197,ركضت إلى المتجر,ركضت الى الشمس,0
3198,استقل الحافلة للذهاب إلى العمل,أخذ بالون الهواء الساخن للذهاب إلى العمل,0
3199,هبطت الطائرة في المريخ,هبطت الطائرة في مطار سياتاك,1
3200,يمكنك المشي إلى المتجر.,يمكن للمخزن المشي إليك.,0
3201,أكل الدجاج اسد,أكل الأسد دجاجة,1
3202,غدا ستبرد الشمس بشرته.,غدا ستشرق الشمس جلده.,1
3203,يوجد بطريق يبني عشًا في شجرة البلوط,هناك عش الطائر الأزرق في عش شجرة البلوط,1
3204,إعادة تشغيل هاتفك تملأ الذاكرة بذاكرة التخزين المؤقت.,تساعد إعادة تشغيل هاتفك في مسح ذاكرة التخزين المؤقت من الذاكرة.,1
3205,طار البسكويت طائرة,طار الطيار طائرة,1
3206,قامت بإصلاح السحاب على السترة.,قامت بإصلاح حمام السباحة على السترة.,0
3207,يمكن للسيارة أن تحمل خمسة أسود,يمكن للسيارة أن تحمل خمسة أشخاص,1
3208,المرأة تسقي النباتات,المرأة تسقي الصخور,0
3209,تعد النباتات طعامها عن طريق طريقة التمثيل الضوئي.,تقوم الحيوانات بإعداد طعامها باستخدام طريقة التمثيل الضوئي,0
3210,النرد متاح في العديد من الأشكال.,عادة ما يكون النرد مستديرًا.,0
3211,قادت سيارتها إلى الفضاء,قادت سيارتها إلى المتجر.,1
3212,الكاتشب أحمر,الكاتشب أزرق,0
3213,والدي يقرأ الراديو في الصباح,والدي يقرأ الجريدة في الصباح,1
3214,أطلق النار على الحيوان بشجرة.,أطلق النار على الحيوان بمسدس.,1
3215,من المهم ممارسة الرياضة يوميا للبقاء في صحة جيدة.,من المهم شرب الويسكي يوميا من أجل الحفاظ على صحة جيدة.,0
3216,لقد مارست الرياضة لفقدان الوزن.,تدربت من أجل خسارة البنوك.,0
3217,أكل الطيور الدودة.,أكلت الصخرة الدودة.,0
3218,ركضت ناطحة سحاب مع سيارتي.,ركضت السنجاب بسيارتي.,1
3219,ترتدي زيت الطهي قبل الخروج للشمس.,كنت وضعت على واقي الشمس قبل الخروج في الشمس.,1
3220,اشترى تفاحة واحتفظ بها في الحقيبة,اشترى مبنى واحتفظ به في الحقيبة,0
3221,مشيت مرآبي أمس.,مشيت كلبي أمس.,1
3222,الطبيب يطبخ في العيادة,يقوم الطبيب بعلاج المريض في العيادة.,1
3223,قدت سيارتي إلى المتجر أمس.,قدت سيارتي إلى القمر البارحة.,0
3224,قدت السيارة إلى القمر.,قدت السيارة للعمل.,1
3225,قاد للعمل على الخبز.,قاد للعمل في الحافلة.,1
3226,الهليوم مثل الأكسجين.,الهليوم عنصر.,1
3227,أراد الطفل تناول بعض الكاكاو الساخن في يوم حار بالخارج.,أراد الطفل الحصول على بعض الآيس كريم في يوم حار بالخارج.,1
3228,أخذ سام جولي في موعد,أخذ سام الثلاجة في موعد,0
3229,يعيش في شقة مع عائلته,يعيش في اليقطين مع عائلته,0
3230,اشترى جون ماموث,اشترى جون سمكة ذهبية,1
3231,تبنت جرو,تبنت الزرافة,0
3232,يزور الناس مضخات البنزين لإعادة تعبئة الوقود على المعدة,يزور الناس أكوام البنزين لإعادة تعبئة الوقود على سيارتهم,1
3233,قفز الرياضي بنجاح فوق الوثب العالي.,قفز الرياضي فوق جبل إيفرست.,0
3234,الكلب لا يزال يحاول التقاط الكرة.,الكلب لا يزال يحاول التقاط فرشاة أسنانه.,0
3235,يمكن أن يتسع الكرسي لـ 7 أشخاص أو أكثر للجلوس.,الأريكة عبارة عن كرسي يتسع لثلاثة أشخاص أو أكثر.,1
3236,طيور الطنان تشرب حليب الشوكولاتة من الزهور.,طيور الطنان تشرب الرحيق من الزهور.,1
3237,كان يكتب بقلم في الكمبيوتر,كان يكتب بيديه في جهاز كمبيوتر,1
3238,وحصد المزارع الجزر الأسبوع الماضي.,حصد المزارع الصخور الأسبوع الماضي.,0
3239,ملأ الزجاج بالماء بعد تنظيفه.,ملأ الزجاج بالماء بعد كسره.,0
3240,"عندما كان في عطلة ، ذهب إلى المكتب للقيام ببعض الأعمال.","عندما كان في عطلة ، لم يذهب إلى المكتب.",1
3241,ذهبت إلى متجر المعدات لشراء الطعام لتناول العشاء.,ذهبت إلى محل بقالة لشراء الطعام لتناول العشاء.,1
3242,تلك السمكة كانت تسبح في الماء.,تلك السمكة كانت تسبح في السماء.,0
3243,يبيع محل البقالة الكلاب ورواد الفضاء.,يبيع محل البقالة البرتقال والحليب.,1
3244,أضاف الخيار إلى الشطيرة,أضاف القطن إلى الشطيرة,0
3245,ألقت المبنى الكبير عبر ملعب كرة القدم,ألقت كرة القدم عبر ملعب كرة القدم,1
3246,السماء زرقاء,السماء تسقط,0
3247,فقدت جنيفر صوتها لأنها غنت لفترة طويلة.,فقدت جنيفر صوتها لأنها نامت لفترة طويلة.,0
3248,قام الرجل بطهي كرسي لتناول العشاء.,قام الرجل بطهي الدجاج على العشاء.,1
3249,كانت اللعبة ممتعة,كانت اللعبة ممتعة,1
3250,رجل يعزف على الجيتار,كلب يعزف على الجيتار,0
3251,أسماك القرش تسبح في المحيط.,مشى القرش للعمل.,0
3252,طبخت باستخدام الوعاء.,طبخت بسيارة.,0
3253,جينا حامل بطفلة,جينا حامل في كرة السلة للأطفال,0
3254,قام شوبان بتأليف موسيقى ليلية,يتكون شوبان مظلة,0
3255,البطانية في الخزانة,الجبل في الخزانة,0
3256,ركب غسالة أسفل التل.,ركب لوح تزلج أسفل التل.,1
3257,الجيش مليء بالجنود.,الجيش مليء بالبطاطس.,0
3258,تقشير الموز مستحيل.,من السهل جدًا تقشير الموز.,1
3259,ركبت الحافلة الصبي إلى المدرسة,ركب الصبي الحافلة إلى المدرسة.,1
3260,لا يأكل النباتيون اللحوم.,الخضروات لا تأكل لحم البقر.,0
3261,و كانت تراقبني,كانت تراقب الجريدة,0
3262,بعض الغبار صعد أنفي.,بعض المنزل صعد أنفي.,0
3263,تستمتع بلعب الصخرة,تستمتع بلعب البيانو.,1
3264,من المحتمل أن تشتري سيارة في كافتيريا,من المحتمل أن تشتري وجبة في كافتيريا,1
3265,أكلت إطار قابل للنفخ بالجبن.,أكلت الخبز مع الجبن.,1
3266,قشر جلود التفاح بسرعة لصنع العصير,قشر البرتقال بسرعة لصنع العصير,1
3267,والدتي تركت جراد البحر يأكلني,سمحت لي أمي بأكل جراد,1
3268,طار سيارته للعمل.,قاد سيارته للعمل.,1
3269,أكل الرجل سلطة.,أكل الرجل كهف.,0
3270,ربط النمس بالحاضر,ربط القوس على الحاضر,1
3271,يوجد مسبح في كل منزل.,يوجد مكان للنوم في كل منزل.,1
3272,"ارتدت سراويل ، ثم ملابس داخلية.",ارتدت ملابس داخلية ثم سروال.,1
3273,وضع كلبا في الثلاجة,وضع الحليب في الثلاجة,1
3274,تحول بركة الماء على الاسمنت الساخن إلى الثلج.,ذاب الجليد على الاسمنت الساخن.,1
3275,الخنازير حيوانات طويلة,الزراف حيوانات طويلة,1
3276,شربت الفتاة كأس بيتزا.,شربت الفتاة كأس شاي مثلج.,1
3277,يقرأ الطالب كتابًا عن أجهزة الكمبيوتر.,يقرأ الكلب كتابًا عن أجهزة الكمبيوتر.,0
3278,يمكنك الاستحمام في الحمام الخاص بك.,تستحم لتنظيف نفسك.,1
3279,وضعت الهاتف في الشاحن,لقد وضعت الشاحن في الهاتف,1
3280,"للعب كرة القدم ، تحتاج إلى كرة ومرابط وحقل ومنصات.","للعب كرة القدم ، تحتاج إلى الخنازير والعشب والطلاء والبلاستيك.",0
3281,يمكن للفرجار قياس طولك.,مقياس يمكن أن يقيس وزنك.,1
3282,القهوة الباردة أحرقت فمي,لقد أحرقت القهوة الساخنة فمي,1
3283,استخدم هاتفًا للاتصال بشقيقته.,استخدم موزة للاتصال بأخته.,0
3284,ذهبت إلى الطبيب عندما كنت بصحة جيدة,ذهبت إلى الطبيب عندما كنت مريضة.,1
3285,القطة العطشى تشرب لحم البقر.,القطة العطشى تشرب الحليب.,1
3286,ذهبت إلى قاع المحيط لإرسال بريد إلكتروني,ذهبت إلى مكتب البريد لإرسال بريد إلكتروني,1
3287,يقوم المعلم بتدريس الطلاب,يقوم الطالب بتدريس معلم,0
3288,يمكنك الاستمتاع بالهواء الطلق أكثر من الداخل,يجب أن تستمتع بالهواء الطلق أكثر من الداخل,0
3289,كتبت على الورقة بالقلم الرصاص.,كتبت على قلم الرصاص مع الورقة.,0
3290,أسافر عن طريق البريد الحمام من قارة إلى قارة.,أسافر بالطائرة من قارة إلى قارة.,1
3291,لعب الصبي بالمنشار.,لعب الصبي بكرته.,1
3292,تتوقف سيارة مايك بسرعة عندما يضرب الغاز.,تتسارع سيارة مايك بسرعة عندما يضرب الغاز.,1
3293,طاه الطاهي طائرة.,طاه الشيف أوزة.,1
3294,صديقي يأكل محطة بنزين.,يعمل صديقي في محطة بنزين.,1
3295,أحب أكل المصابيح,أحب أن أكل التفاح,1
3296,النمل صغير,النمل ضخم,0
3297,القتلة في المسلسل خطيرون.,القتلة في المسلسل آمنون.,0
3298,ذهب إلى حفلة الليلة الماضية ودرس كثيرا.,ذهب إلى حفلة الليلة الماضية وشرب كثيرا.,1
3299,تنظيف أسنانك ثلاث مرات في اليوم مفيد لصحتك.,تنظيف أسنانك ثلاث مرات في السنة جيد لصحتك.,0
3300,الضوء ساطع,النور مظلم,0
3301,"يستلم المعلم الدفعة المطابقة لجدول الحصص الدراسية ، مع تغيير السعر حسب خبرته. خبرة أعلى ، أجر أعلى.","يستلم المعلم الدفعة المطابقة لجدول الحصص الدراسية ، مع تغيير السعر حسب خبرته. خبرة أصغر ، أجر أعلى.",0
3302,عمتي تشرب فنجان من القهوة كل صباح مع وجبة الإفطار,عمتي تشرب كوبًا من المسامير كل صباح مع وجبة الإفطار.,0
3303,عبرت الفتاة عند ممر المشاة.,عبرت الفتاة المعبر تحت الحافلة.,0
3304,المنزل على وشك الغرق,السفينة على وشك الغرق,1
3305,كان كلبي يعوي على القمر.,كان كلبي يغني نغمات سيناترا القديمة.,0
3306,الكثير من الناس يحبون السكر,الكل يكره السكر,0
3307,يمكن للطيور أن تطير في السماء,يمكن للأبقار أن تطير في السماء,0
3308,كان النسيم الاستوائي الدافئ باردًا,كان النسيم الاستوائي دافئًا,1
3309,نام الحوت على سريره.,نام القط على سريره.,1
3310,ذهب الناس إلى ناطحة السحاب للعمل.,ذهب الناس إلى المنازل للعمل.,0
3311,أمسك الطفل بسيارة.,التقطت القطة فأرة.,1
3312,الفأر أصغر من البراغيث.,الفأر أصغر من السيارة.,1
3313,شربت الكثير من الويسكي ولا أستطيع القيادة.,شربت الكثير من الماء ولا أستطيع القيادة.,0
3314,قفزت الشجرة فوق السياج.,قفز الحصان فوق السياج.,1
3315,ولد الصبي يد النحلة.,النحلة لدغت الصبي في اليد.,1
3316,كان الرجل العجوز يرتدي حساء للعمل.,صنع الرجل العجوز حساء للعشاء.,1
3317,أجبت على الهاتف عندما كان لا يرن.,اجب على الهاتف عندما يرن,1
3318,سكبت الحليب في وعاء الحبوب.,سكبت المحيط بأكمله في وعاء الحبوب.,0
3319,انا افضل الموز على التفاح.,انا افضل التفاح على الموز.,1
3320,سقط الكمبيوتر على الأرض,التقط الكمبيوتر نفسه,0
3321,الصحفي يكتب بقلم.,الصحفي يكتب مع شطيرة.,0
3322,أغسل أسناني بمعجون الأسنان بعد تناول وجبة الإفطار.,أغسل عيني بمعجون الأسنان بعد تناول وجبة الإفطار.,0
3323,وضعت زوجتي فطيرة في الفرن.,وضعت زوجتي منزلاً في الفرن.,0
3324,قاد الطفل إلى المتجر.,قاد الرجل إلى المتجر.,1
3325,كما وضع رفًا في صندوقه,وضع الدراجة في صندوقه,1
3326,اتصلت بزوجتي هذا الصباح.,دعوت المعكرونة بلدي هذا الصباح.,0
3327,كانت تمشي مسافة ميل على الشمس.,مشى ميلا على الشاطئ.,1
3328,ركب دراجته إلى المتجر لشراء تفاحة.,ركب تفاحته إلى المتجر لشراء دراجة.,0
3329,يزرع الذرة في حقل من التراب.,يزرع الذرة تحت الماء.,0
3330,كان يرتدي قبعة على زره.,كان يرتدي زرًا على قبعته.,1
3331,يعيش أليكس في المدينة,يعيش أليكس في البيانو,0
3332,يركب دراجة للعمل.,يركب كرة السلة للعمل.,0
3333,أوقف السيارة في المرآب.,أوقف الطائرة في المرآب.,0
3334,طبخت السمك في الفرن.,طبخت الزرافة في الفرن.,0
3335,قتلت جسرا أمس.,قتلت أيل أمس.,1
3336,أنا أركب الحصان,الحصان يركب علي,0
3337,ركضت القطة من الفأرة.,ركض الفأر من القطة.,1
3338,يمكن لأذنيك الاستماع إلى الموسيقى,يمكن فمك الاستماع إلى الموسيقى,0
3339,أود شراء منزل,أود شراء سعيد,0
3340,بحث عن اسم الرئيس في دليل الهاتف.,بحث عن عنوان المطعم في دليل الهاتف.,1
3341,شاهدت فيلم الليلة الماضية.,شاهدت عطرًا الليلة الماضية.,0
3342,المصابيح الكهربائية تستخدم الحلوى للتشغيل.,تستخدم المصابيح الكهربائية الكهرباء للتشغيل.,1
3343,ركبت ديناصور للعمل,ركبت دراجتها للعمل,1
3344,نبح الشاحنة في الكلب.,نبح الكلب في شاحنة التسليم.,1
3345,ألقى لورا صخرة في البحر.,ألقى لورا البحر على صخرة.,0
3346,كتب كلبي واجبي المنزلي,كلبي أكل وجبتي على الغداء,1
3347,ضعي الماء على الموقد لغليه,ضع الماء في الثلاجة ليغلي,0
3348,يمكن أن يكون التفاح أحمر أو أخضر,يمكن أن يكون التفاح أسود,0
3349,القمر يصدر ضوءًا لكل العالم.,تبعث الشمس الضوء إلى كل العالم.,1
3350,الساعة كسولة,الساعة أمامنا,1
3351,كانت الفلفل الحار ساخنة,كانت الفلفل الحار مثيرة,0
3352,تهاجر الأوز لتجد طقسًا دافئًا لفصل الشتاء.,تهاجر الأوز للعثور على طقس أكثر برودة لفصل الصيف.,0
3353,وضعت شمعة في الفريزر.,وضعت الآيس كريم في الفريزر.,1
3354,يتم الاحتفاظ بتركيا في الثلاجة حتى يمكن استخدامها بعد ذلك,يتم الاحتفاظ بالحجارة في الثلاجة حتى يمكن استخدامها بعد ذلك,0
3355,اتصلت بالشرطة للإبلاغ عن جريمة.,اتصلت بمكتب البريد للإبلاغ عن جريمة.,0
3356,ذهب إلى الحانة على متن طائرة.,ذهب إلى الحانة في سيارته.,1
3357,وضعت هاتفها الخلوي في حساءها,وضعت الدجاج في حساءها,1
3358,اصطاد الأرنب الغزلان,اصطاد الأسد الغزلان,1
3359,اصطدام كويكب سينقذ البشرية ..,الذكاء الاصطناعي سينقذ العالم.,1
3360,أضع كلبي في مشغل بلو راي.,أضع قرص بلو راي في مشغل بلو راي.,1
3361,عزف لحن جميل مع ليمونه.,عزف لحن جميل على الناي.,1
3362,طار الديك الرومي في السماء بسرعة,طار بسرعة في السماء,1
3363,كانت المرأة تسبق البقرة.,كانت المرأة حامل بصبي.,1
3364,شربت عصير التفاح من فنجان.,شربت عصير التفاح من جورب.,0
3365,دفعت ثمن طعامها بقشر الموز.,دفعت ثمن طعامها ببطاقة ائتمان.,1
3366,أخذ سيارته إلى ميكانيكي لإصلاح.,أخذ سيارته إلى خباز لإصلاحه.,0
3367,تأخر جو عن العمل لأنه فاته قطاره.,تأخر جو عن العمل بسبب افتقاده لزوجته.,0
3368,الدائرة شكل,الدائرة مربع,0
3369,واجب هيئة المحلفين يتطلب الحكم.,يتطلب عمل الكمبيوتر عضلات كبيرة.,0
3370,ركب إلى بلوتو في سيارة.,ركب إلى المدرسة في سيارة.,1
3371,حمالة الصدر هي لحلق وجه رجل.,ماكينة حلاقة لحلاقة وجه الرجل.,1
3372,أنا ذاهب إلى صالون الحلاقة من أجل قصة شعر.,انا ذاهب الى السينما لقص الشعر.,0
3373,أعلن المحافظ حالة الطوارئ وفرض التخدير الجراحي.,أعلن المحافظ حالة الطوارئ وفرض الأحكام العرفية.,1
3374,يكتب على لوحة المفاتيح,يكتب على الموز,0
3375,الأرض هي شكل كرة.,الأرض هي شكل جدول.,0
3376,أحضر ديناصور إلى المنزل.,أحضر فأرا إلى المنزل,1
3377,فصلت هاتفها لأنه تم الشحن,فصلت هاتفها لأنه ارتكب جرائم حرب,0
3378,متسابق زرافة يركب سلحفاة,متسابق حصان يركب حصانًا,1
3379,فرك ظهره.,فرك الصبار,0
3380,غسلت السيارة في الممر.,غسلت السيارة في حوض الاستحمام.,0
3381,تدور الأرض حول الشمس,تدور الغيوم حول السماء.,0
3382,أغسل شعري بمنظف.,أغسل شعري بالشامبو.,1
3383,شربت بعض الصبار من الترمس.,شربت بعض القهوة من الترمس.,1
3384,وضعت الساندويتش في منفضة السجائر,وضعت السيجار في منفضة السجائر,1
3385,أستخدم سكينًا لتنظيف فرو كلبي.,أستخدم فرشاة لتنظيف فرو كلبي.,1
3386,كانت ترتدي خفاشها,كانت ترتدي نظارات,1
3387,أكل المعكرونة من وعاء.,أكل السيارات من وعاء.,0
3388,كانت تتزلج على الجليد على الوحل,كانت تتزلج على الجليد,1
3389,حكم القاضي على المتهم بالسجن المؤبد.,حكمت الضحية على المتهم بالسجن مدى الحياة.,0
3390,طار الطائر جنوبًا لفصل الشتاء.,طار الطائر جنوبًا لقضاء عطلة الربيع.,0
3391,القمر أصغر من الأرض.,الأرض أكبر من الشمس.,0
3392,ذهبت في نزهة بعد ظهر اليوم.,لقد حفرت حفرة للصين بعد ظهر اليوم.,0
3393,أكلت أرنب كامل.,أكلت حصانًا كاملاً.,0
3394,أكلت بعض كعكة الشوكولاتة على الغداء.,أكلت بعض الصخور لتناول طعام الغداء.,0
3395,يمكن للبقرة أن تطير.,طائر يستطيع أن يطير.,1
3396,صعد جبل في 5 دقائق.,صعد تلة في 5 دقائق.,1
3397,من المرجح أن تجد المباني في الغابة,من المرجح أن تجد الأشجار في غابة,1
3398,القمر يدور حول الأرض.,تدور الشمس حول الأرض.,0
3399,قدت سيارتي إلى فلوريدا هذا الصيف.,قدت شقتي إلى فلوريدا هذا الصيف.,0
3400,يؤلمها فمها لأنها قطعت كوعها,يؤلمها فمها لأنها قطعت لسانها,1
3401,يمكن تشغيل السلاحف بسرعة.,يمكن للخيول الركض بسرعة.,1
3402,كثرة السعرات الحرارية تتسبب في زيادة الوزن,كثرة السعرات الحرارية تؤدي إلى فقدان الوزن,0
3403,قفز فوق القمر.,قفز فوق السياج.,1
3404,تحلق الطائرات تحت الماء,تحلق الطائرات في السماء,1
3405,دخل سيارته,دخل شجرة,0
3406,طبخت دجاجة.,طهيت ملعقة.,0
